MIDI,Onset,Duration,String,Position,Finger
41,0,0.111111111,4,1,4
53,0.111111111,0.111111111,2,1,2
52,0.222222222,0.111111111,2,1,1
53,0.333333333,0.111111111,2,1,2
56,0.444444444,0.111111111,2,2,4
55,0.555555556,0.111111111,2,2,3
56,0.666666667,0.111111111,2,2,4
55,0.777777778,0.111111111,2,2,3
53,0.888888889,0.111111111,2,2,1
40,0,0.111111111,4,1,3
52,0.111111111,0.111111111,2,1,1
53,0.222222222,0.111111111,2,1,2
55,0.333333333,0.111111111,2,1,4
53,0.444444444,0.111111111,2,1,2
52,0.555555556,0.111111111,2,1,1
58,0.666666667,0.111111111,2,3,4
56,0.777777778,0.111111111,2,3,2
55,0.888888889,0.111111111,2,3,1
41,0,0.111111111,4,1,4
53,0.111111111,0.111111111,2,1,2
52,0.222222222,0.111111111,2,1,1
53,0.333333333,0.111111111,2,1,2
56,0.444444444,0.111111111,2,2,4
55,0.555555556,0.111111111,2,2,3
56,0.666666667,0.111111111,2,2,4
55,0.777777778,0.111111111,2,2,3
53,0.888888889,0.111111111,2,2,1
40,0,0.111111111,4,1,4
52,0.111111111,0.111111111,2,1,2
53,0.222222222,0.111111111,2,1,1
55,0.333333333,0.111111111,2,1,2
53,0.444444444,0.111111111,2,2,4
52,0.555555556,0.111111111,2,2,3
58,0.666666667,0.111111111,,,
56,0.777777778,0.111111111,,,
55,0.888888889,0.111111111,,,
41,0,0.111111111,,,
53,0.111111111,0.111111111,,,
52,0.222222222,0.111111111,,,
53,0.333333333,0.111111111,,,
56,0.444444444,0.111111111,,,
55,0.555555556,0.111111111,,,
56,0.666666667,0.111111111,,,
58,0.777777778,0.111111111,,,
60,0.888888889,0.111111111,,,
61,0,0.111111111,,,
60,0.111111111,0.111111111,,,
58,0.222222222,0.111111111,,,
61,0.333333333,0.111111111,,,
60,0.444444444,0.111111111,,,
58,0.555555556,0.111111111,,,
56,0.666666667,0.111111111,,,
55,0.777777778,0.111111111,,,
53,0.888888889,0.111111111,,,
36,0,0.111111111,,,
60,0.111111111,0.111111111,,,
59,0.222222222,0.111111111,,,
60,0.333333333,0.111111111,,,
64,0.444444444,0.111111111,,,
63,0.555555556,0.111111111,,,
64,0.666666667,0.111111111,,,
67,0.777777778,0.111111111,,,
66,0.888888889,0.111111111,,,
67,0,0.111111111,,,
64,0.111111111,0.111111111,,,
65,0.222222222,0.111111111,,,
67,0.333333333,0.111111111,,,
65,0.444444444,0.111111111,,,
64,0.555555556,0.111111111,,,
61,0.666666667,0.111111111,,,
60,0.777777778,0.111111111,,,
58,0.888888889,0.111111111,,,
56,0,0.111111111,,,
53,0.111111111,0.111111111,,,
55,0.222222222,0.111111111,,,
56,0.333333333,0.111111111,,,
60,0.444444444,0.111111111,,,
56,0.555555556,0.111111111,,,
53,0.666666667,0.111111111,,,
56,0.777777778,0.111111111,,,
53,0.888888889,0.111111111,,,
49,0,0.111111111,,,
53,0.111111111,0.111111111,,,
56,0.222222222,0.111111111,,,
61,0.333333333,0.111111111,,,
56,0.444444444,0.111111111,,,
53,0.555555556,0.111111111,,,
49,0.666666667,0.111111111,,,
53,0.777777778,0.111111111,,,
56,0.888888889,0.111111111,,,
48,0,0.111111111,,,
53,0.111111111,0.111111111,,,
56,0.222222222,0.111111111,,,
60,0.333333333,0.111111111,,,
56,0.444444444,0.111111111,,,
53,0.555555556,0.111111111,,,
48,0.666666667,0.111111111,,,
53,0.777777778,0.111111111,,,
56,0.888888889,0.111111111,,,
47,0,0.111111111,,,
50,0.111111111,0.111111111,,,
53,0.222222222,0.111111111,,,
59,0.333333333,0.111111111,,,
53,0.444444444,0.111111111,,,
